,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
1,1,0.0,2248.28,0.0,0.0,2248.28,16300.0
2,1,490.0,78.4,0.0,0.0,568.4,568.4
3,1,195.0,31.2,0.0,0.0,226.2,226.2
4,1,10694.25,1711.08,0.0,0.0,12405.33,12405.33
5,1,0.0,402.6,0.0,0.0,0.0,0.0
6,1,0.0,402.6,0.0,0.0,0.0,0.0
7,1,2009.0,402.6,0.0,0.0,2292.9,2424.3
8,1,8620.69,1379.31,0.0,0.0,10000.0,10000.0
9,1,0.01,699.48,0.0,0.0,0.01,0.0
10,1,0.0,699.48,0.0,0.0,0.0,0.0
11,1,4371.72,699.48,0.0,0.0,5071.200000000001,5071.2
12,1,159.48,25.52,0.0,0.0,185.0,185.0
13,1,480.0,76.8,0.0,0.0,556.8,556.8
14,1,2500.0,400.0,0.0,0.0,2900.0,2900.0
15,1,88.44,14.15,0.0,0.0,102.59,102.59
16,1,5344.76,855.16,0.0,0.0,6199.92,6199.92
17,1,5152.17,824.35,0.0,0.0,5976.52,5976.52
18,1,0.0,0.0,0.0,0.0,0.0,1771.95
19,1,0.0,0.0,0.0,0.0,0.0,538.0
20,1,0.0,0.0,0.0,0.0,0.0,660.4
21,1,674.62,124.37,0.0,0.0,798.99,798.99
22,1,752.43,146.57,0.0,0.0,899.0,899.0
23,1,674.62,124.37,0.0,0.0,798.99,798.99
24,1,674.62,124.37,0.0,0.0,798.99,798.99
25,1,2750.0,396.0,0.0,0.0,3146.0,2871.0
26,1,256.0,40.96,0.0,0.0,296.96,296.96
27,1,282.0,45.12,0.0,0.0,327.12,327.12
28,1,11913.67,476.55,0.0,0.0,12390.22,12390.22
29,1,500.0,80.0,0.0,0.0,580.0,580.0
30,1,0.0,672.0,0.0,0.0,0.0,0.0
31,1,0.0,672.0,0.0,0.0,0.0,0.0
32,1,4200.0,672.0,0.0,0.0,4872.0,4872.0
33,1,0.0,0.0,0.0,0.0,0.0,0.0
34,1,0.0,0.0,0.0,0.0,0.0,0.0
35,1,0.01,0.0,0.0,0.0,0.01,0.0
36,1,105.0,0.0,0.0,0.0,105.0,105.0
37,1,350.0,56.0,0.0,0.0,406.0,406.0
38,1,177.78,28.44,0.0,0.0,206.22,206.22
39,1,51.7,8.27,0.0,0.0,59.97,59.97
40,1,3900.0,561.6,0.0,0.0,4461.6,4071.6
41,1,600.0,96.0,0.0,0.0,696.0,696.0
42,1,516.6,82.66,0.0,0.0,599.26,599.26
43,1,8260.0,1321.6,0.0,0.0,9581.6,9581.6
44,1,149.22,23.88,0.0,0.0,173.1,173.1
45,1,198.0,38.57,0.0,0.0,236.57,236.57
46,1,1400.0,224.0,0.0,0.0,1624.0,1624.0
47,1,3025.75,484.12,0.0,0.0,3509.87,3509.87
48,1,9614.0,1538.24,0.0,0.0,11152.24,11152.24
49,1,360.0,57.6,0.0,0.0,417.6,417.6
50,1,1139.12,182.26,0.0,0.0,1321.3799999999999,1321.38
51,1,1124.95,175.44,0.0,0.0,1300.39,1300.39
52,1,9900.0,1584.0,0.0,0.0,11484.0,11484.0
53,1,2000.0,320.0,0.0,0.0,2320.0,2320.0
54,1,1687.0,269.92,0.0,0.0,1956.92,1956.92
55,1,8620.69,1379.31,0.0,0.0,10000.0,10000.0
56,1,0.0,32.35,0.0,0.0,0.0,0.0
57,1,202.2,32.35,0.0,0.0,234.54999999999998,234.55
58,1,85.34,13.66,0.0,0.0,99.0,99.0
59,1,96.83,15.5,0.0,0.0,112.33,112.33
60,1,0.0,402.6,0.0,0.0,0.0,0.0
61,1,0.0,402.6,0.0,0.0,0.0,0.0
62,1,2009.0,402.6,0.0,0.0,2292.9,2424.3
63,1,4286.71,685.87,0.0,0.0,4972.58,4972.58
64,1,2050.95,328.16,0.0,0.0,2379.1099999999997,2379.11
65,1,1876.0,300.16,0.0,0.0,2176.16,2176.16
66,1,1876.0,300.16,0.0,0.0,2176.16,2176.16
67,1,900.0,144.0,0.0,0.0,1044.0,1044.0
68,1,0.0,0.0,0.0,0.0,0.0,0.0
69,1,105.0,0.0,0.0,0.0,105.0,105.0
70,1,351.0,56.16,0.0,0.0,407.15999999999997,407.16
71,1,12250.0,1960.0,0.0,0.0,14210.0,14210.0
72,1,837.95,134.07,0.0,0.0,972.02,972.02
73,1,313.26,50.12,0.0,0.0,363.38,363.38
74,1,2775.0,444.0,0.0,0.0,3219.0,3219.0
75,1,855.0,136.8,0.0,0.0,991.8,991.8
76,1,326.25,52.2,0.0,0.0,378.45,378.45
77,1,1955.0,312.8,0.0,0.0,2267.8,2267.8
78,1,720.74,112.39,0.0,0.0,833.13,833.13
79,1,0.0,0.0,0.0,0.0,0.0,1069.5
80,1,0.0,136.8,0.0,0.0,0.0,0.0
81,1,950.0,136.8,0.0,0.0,1086.8,991.8
82,1,0.0,403.84,0.0,0.0,0.0,0.0
83,1,2524.0,403.84,0.0,0.0,2927.84,2927.84
84,1,85.78,13.72,0.0,0.0,99.5,99.5
85,1,0.0,1532.16,0.0,0.0,0.0,0.0
86,1,9576.0,1532.16,0.0,0.0,11108.16,11108.16
87,1,2779.5,444.72,0.0,0.0,3224.2200000000003,3224.22
88,1,0.0,16.97,0.0,0.0,0.0,0.0
89,1,0.0,16.97,0.0,0.0,0.0,0.0
90,1,0.0,16.97,0.0,0.0,0.0,0.0
91,1,0.0,16.97,0.0,0.0,0.0,0.0
92,1,106.05,16.97,0.0,0.0,123.02,123.02
93,1,3600.0,576.0,0.0,0.0,4176.0,4176.0
94,1,4000.0,640.0,0.0,0.0,4640.0,4640.0
95,1,1050.0,168.0,0.0,0.0,1218.0,1218.0
96,1,153.6,24.58,0.0,0.0,178.18,178.18
97,1,0.0,15.22,0.0,0.0,0.0,0.0
98,1,95.12,15.22,0.0,3.03,107.31,107.31
99,1,303.0,48.48,0.0,0.0,351.48,351.48
100,1,0.0,0.0,0.0,0.0,0.0,979.75
101,1,0.0,0.0,0.0,0.0,0.0,358.0
102,1,0.0,0.0,0.0,0.0,0.0,3789.05
103,1,0.0,0.0,0.0,0.0,0.0,-669.0
104,1,3001.65,444.68,0.0,0.0,3446.33,3446.33
105,1,8300.0,48.0,0.0,0.0,8348.0,8348.0
106,1,2009.0,402.6,0.0,0.0,2292.9,2424.3
107,1,0.0,0.0,0.0,0.0,0.0,236.5
108,1,83.84,13.42,0.0,0.0,97.26,97.26
